tot_id,summary,details,label,relevant/irrelevant,key_word
102012733,"​​design and Build for the Advanced Metering Infrastructure (ami) Receiving Center Rehabilitation Juncos, Pr Cip Number: 6-00-0050​ Prasa / Faast / Cdbg-dr","The project consists in the rehabilitation of an existing PRIDCO facility located in Juncos, Puerto Rico. Bidders are expected to provide Design-Build services with demonstrated capacity of implementing such rehabilitation effort, ensuring a robust facility, and willing to undertake the financial and technical responsibility to deliver the integrated receiving center and bench testing facility. Bidder shall be able to deliver site, electrical, mechanical, HVAC, interior rehabilitation and any other improvement required to achieve the required facility to support the Advanced Metering Infrastructure (AMI) full deployment phase for meter replacement and installation. This project will impact the replacement of approximately 1,500,000 meters in all the municipalities of Puerto Rico.Funding by Puerto Rico Aqueduct and Sewer Authority (PRASA), the Federal Management Emergency Agency (FEMA) under the FEMA-s Accelerated Obligation Strategy (known as FAAST), and the Community Development Block Grant-Disaster Recovery (CDBG-DR) Program.CONTACT: For additional information regarding the meeting place, please contact Eng. Roberto Gómez at (787) 397-0252 or roberto.gomez@arcadis.com",0,Irrelevant,Air condition supply tender or AC supply tenders
102016899,Aerodynamic Testing of Ventilation Systems,Energy Other,0,Irrelevant,Air condition supply tender or AC supply tenders
102016979,"Services for Hydraulic Flushing and Hydraulic Testing of Internal Heating, Ventilation and Hot Water Supply Systems",Housing and communal services / consumer services Household services - other,0,Irrelevant,Air condition supply tender or AC supply tenders
102019102,Purchase of Air Conditioner (Split System) According to Technical Specifications,Lots: Air conditioner (split system) - Purchase of air conditioner (split system) 54 sq.m according to technical specifications | Air conditioning (split system) - Purchase of an air conditioner (split system) 21 sq.m according to technical specifications,1,Relevant,Air condition supply tender or AC supply tenders
102019810,"Construction of 85 Nos Ventilation Stopping at 22Ls, 16Ls, 3Ls and 36D (Part - Iii) Contiguous Depillaring Panel in Upp Seam and Lpp Seam, 72Dip Lpp Seam of Bhatgaon Ug Mine under Bhatgaon Area","Construction of 85 Nos Ventilation stopping at 22LS, 16LS, 3LS and 36D (Part - III) Contiguous Depillaring Panel in UPP seam and LPP seam, 72DIP LPP Seam of Bhatgaon UG mine under Bhatgaon Area
Civil Works - Others",0,Irrelevant,Air condition supply tender or AC supply tenders
102020373,Two Unit Price Opening Contracts Such As Balloon Expansion Catheter,"Two unit price opening contracts such as balloon ducting catheter
Target classification: property 352 -pharmaceutical products",0,Irrelevant,Air condition supply tender or AC supply tenders
102021763,Air Conditioner Split System Ma,Lots: Air conditioner (split system),1,Relevant,Air condition supply tender or AC supply tenders
102022668,Wall Mounted Air Conditioner Included,Lots: Air conditioning,0,Irrelevant,Air condition supply tender or AC supply tenders
102024611,"Annual Maintenance Service-Air Conditioner, Qty: 247",Annual Maintenance service-AIR CONDITIONER,0,Irrelevant,Air condition supply tender or AC supply tenders
102811793,Supply of Air Conditioner (Split System) with Installation,Supply of air conditioner (split system) with installation,1,Relevant,Air condition supply tender or AC supply tenders
102814044,Supply of Domestic Air Conditioner with Installation and Commissioning,Supply of domestic air conditioner with installation and commissioning,1,Relevant,Air condition supply tender or AC supply tenders
102817518,Supply of Domestic Air Conditioner with Subsequent Installation and Commissioning,Supply of domestic air conditioner with subsequent installation and commissioning,1,Relevant,Air condition supply tender or AC supply tenders
102901161,Id No. Gds-07-24-049 - Supply & Delivery of Air-Conditioning Unit,"Tender are invited for ID NO. GDS-07-24-049 - SUPPLY & DELIVERY OF AIR-CONDITIONING UNIT
Procurement Mode : Public Bidding
Classification : Goods
Category : Airconditioning and Airconditioning Systems
Contract Duration : 45 Day/s
Budget for the Contract : PHP 842,500.00
Area of Delivery : Catanduanes
Description : INVITATION TO BID


The MUNICIPAL GOVERNMENT OF VIRAC, intends to apply the sum shown below being the Approved Budget for Contract (ABC) to Payments under the contract/project below. Bids received in excess of ABC shall be automatically rejected at the bid opening.

The MUNICIPAL GOVERNMENT OF VIRAC, through its Bids and Awards Committee (BAC), invites suppliers/manufacturers/contractors to apply for eligibility and to bid for the hereunder project/s:

Name of Project/Contract/
Activities Location/
Department Brief Description Approved Budget for the Contract Delivery Period

1. ID No. GDS-05-24-035 Supply & Delivery of Animal Feeds - Re-Bid
MAO
Consists of 2 PR-s -
Various Animal Feeds

P 480,037.25
45 CD

2. ID No. GDS-05-24-042 Radio Broadcasting and Advertisement - Re-Bid
MO
2 hours Airtime for 168 days
P 500,000.00
168 CD

3. ID No. GDS-07-24-044 Supply & Delivery of Garbage Bags
MO-SWM
Garbage Bag with various color and sizes

P 502,600.00
45 CD

4. ID No. GDS-07-24-045 Supply & Delivery of Protec...",1,Relevant,Air condition supply tender or AC supply tenders
102906629,Supply and Installation of Centralized Air Conditioning Equipment in the Villanueva Del Trabuco Barracks (Malaga).,"Description: Supply and Installation of Centralized Air Conditioning Equipment in the Villanueva Del Trabuco Barracks (Malaga).
Closing date: 2024-07-04
Tender base budget: Euros
Contract type: Supplies
CPV code: 42500000-Refrigeration and ventilation equipment.,",1,Relevant,Air condition supply tender or AC supply tenders
102933055,Supply & Installation of Air Conditioners,"Tenders are invited for Supply & Installation of Air Conditioners. Non Refundable Fee LKR 2000.00 BID Security LKR 100,000.00",1,Relevant,Air condition supply tender or AC supply tenders
102954585,"Selection of Supplier(S) of Anti-Vandal Protection for Air Conditioners for the Retail Chain ""Red and White""Selection of Supplier(S) for the Supply of Anti-Vandal Protection for Air Conditioners for the Retail Chain ""Red and Be...","Selection of supplier(s) of anti-vandal protection for air conditioners for the retail chain ""RED and WHITE""Selection of supplier(s) for the supply of anti-vandal protection for air conditioners for the retail chain ""RED and WHITE""
Additional information:-
Category OKPD2: 11.25.23.120 Structures and structural details from",0,Irrelevant,Air condition supply tender or AC supply tenders
102960602,"Tm Quote 031/2024- Call for Quotation for the Supply, Delivery and Installation of (2) 12'000 Btu's Air Conditioner Units for Tm Paola","The purpose of this Call for Quotation (CfQ) is to Install (2) new Air Conditioner Units at Transport Malta, Server Room Opposite to A3 Towers Paola.",1,Relevant,Air condition supply tender or AC supply tenders
102968150,Hiring of Services for Carrying Interior Works Along with Supply Installation Testing and Commissioning of Vrf Air Conditioning System in the Newly Constructed Ogps Office Building,"Work Description: Hiring of Services for Carrying Interior Works Along with Supply Installation Testing and Commissioning of Vrf Air Conditioning System in the Newly Constructed Ogps Office Building
Tender Category: Works
Product Category: Miscellaneous Works
Miscellaneous Works",1,Relevant,Air condition supply tender or AC supply tenders
103008227,Supply Of Refrigerant Gauge Set To Fill The Air Condition Qty 1,Tenders Are Invited For Supply Of Refrigerant Gauge Set To Fill The Air Condition Qty 1,0,Irrelevant,Air condition supply tender or AC supply tenders
103022607,Supply and Installation of Air Conditioning for the Dependencies of the Metropolitan Rap?,SUPPLY AND INSTALLATION OF AIR CONDITIONING FOR THE DEPENDENCIES OF THE METROPOLITAN RAP?,1,Relevant,Air condition supply tender or AC supply tenders
103067903,Provision and Installation of Air Conditioners,"Name of the tender:Provision and Installation of Air Conditioners
Description: SUPPLY AND INSTALLATION OF AIR CONDITIONING, FOR MUNICIPAL EDUCATIONAL ESTABLISHMENTS
Type of tender:Public-Public Tender equal to or greater than 100 UTM and less than 1,000 UTM (LE)
Date",1,Relevant,Air condition supply tender or AC supply tenders
